Reserve,Type,Date,SiteID,PlotID,Lat,Long,Distance,Orthometric Height,MLLW,Species,Cover,Maximum Canopy Height
ELK,E,09/14/2016,Azevedo,1,36.8501747,-121.7571152,0.0,2.271,2.270,Salicornia pacifica,63,0.17
ELK,E,09/07/2016,Azevedo,2,36.8500699,-121.7570843,12.0,1.638,1.637,Salicornia pacifica,100,0.28
ELK,E,09/12/2016,Azevedo,3,36.8499657,-121.7570510,23.9,1.607,1.606,Salicornia pacifica,100,0.28
ELK,E,09/12/2016,Azevedo,4,36.8498614,-121.7570193,35.9,1.598,1.598,Salicornia pacifica,100,0.31
ELK,E,09/14/2016,Azevedo,5,36.8497565,-121.7569870,47.9,1.577,1.576,Salicornia pacifica,88,0.28
ELK,E,09/14/2016,Azevedo,6,36.8496523,-121.7569553,59.8,1.581,1.580,Salicornia pacifica,100,0.32
ELK,E,09/26/2016,Azevedo,7,36.8495481,-121.7569221,71.6,1.219,1.218,Salicornia pacifica,13,0.25
ELK,E,09/26/2016,Azevedo,8,36.8494432,-121.7568885,83.7,1.592,1.591,Salicornia pacifica,100,0.35
ELK,E,09/12/2016,Azevedo,9,36.8493392,-121.7568556,95.6,1.576,1.576,Salicornia pacifica,100,0.38
ELK,E,09/14/2016,Azevedo,10,36.8492341,-121.7568205,107.6,1.443,1.442,Salicornia pacifica,88,0.33
ELK,E,09/14/2016,Round Hill,1,36.8217787,-121.7481751,0.0,2.323,2.322,Salicornia pacifica,13,0.16
ELK,E,09/26/2016,Round Hill,2,36.8217639,-121.7480347,12.6,1.662,1.661,Salicornia pacifica,100,0.28
ELK,E,09/26/2016,Round Hill,3,36.8217483,-121.7478961,25.1,1.589,1.588,Salicornia pacifica,100,0.25
ELK,E,09/26/2016,Round Hill,5,36.8217162,-121.7476177,50.2,1.571,1.570,Salicornia pacifica,100,0.31
ELK,E,09/28/2016,Round Hill,6,36.8217010,-121.7474781,62.8,1.548,1.547,Salicornia pacifica,88,0.38
ELK,E,09/28/2016,Round Hill,7,36.8216845,-121.7473383,75.4,1.537,1.537,Salicornia pacifica,88,0.28
ELK,E,09/28/2016,Round Hill,8,36.8216698,-121.7472074,87.2,1.462,1.461,Salicornia pacifica,100,0.37
ELK,E,09/12/2016,Round Hill,9,36.8216519,-121.7470653,100.1,1.590,1.589,Salicornia pacifica,94,0.27
ELK,E,09/14/2016,Round Hill,10,36.8216320,-121.7469269,112.8,1.459,1.458,Salicornia pacifica,100,0.26
ELK,E,09/14/2016,Big Creek,1,36.8323152,-121.7463332,0.0,2.109,2.108,Salicornia pacifica,94,0.21
ELK,E,09/14/2016,Big Creek,2,36.8323349,-121.7462129,11.0,1.584,1.583,Salicornia pacifica,100,0.26
ELK,E,09/26/2016,Big Creek,3,36.8323536,-121.7460915,22.0,1.535,1.535,Salicornia pacifica,94,0.29
ELK,E,09/26/2016,Big Creek,5,36.8323877,-121.7458496,44.0,1.494,1.493,Salicornia pacifica,94,0.34
ELK,E,09/26/2016,Big Creek,7,36.8324256,-121.7456075,66.0,1.539,1.539,Salicornia pacifica,100,0.27
ELK,E,09/26/2016,Big Creek,8,36.8324447,-121.7454866,77.0,1.473,1.472,Salicornia pacifica,94,0.28
ELK,E,09/28/2016,Big Creek,9,36.8324633,-121.7453658,88.0,1.418,1.418,Salicornia pacifica,25,0.32
ELK,E,09/28/2016,Big Creek,10,36.8324822,-121.7452466,99.0,1.584,1.583,Salicornia pacifica,88,0.21
ELK,E,09/28/2016,Hudsons,2,36.8593276,-121.7562686,19.2,1.757,1.756,Salicornia pacifica,100,0.38
ELK,E,09/28/2016,Hudsons,3,36.8591564,-121.7562957,38.4,1.780,1.779,Salicornia pacifica,100,0.35
ELK,E,09/14/2016,Hudsons,4,36.8589854,-121.7563264,57.6,1.792,1.791,Salicornia pacifica,100,0.41
ELK,E,09/14/2016,Hudsons,5,36.8588146,-121.7563584,76.8,1.695,1.694,Salicornia pacifica,69,0.26
ELK,E,09/07/2016,Hudsons,6,36.8586433,-121.7563905,96.0,1.721,1.720,Salicornia pacifica,100,0.30
ELK,E,09/07/2016,Hudsons,7,36.8584722,-121.7564179,115.2,1.654,1.653,Salicornia pacifica,38,NA
ELK,E,09/07/2016,Hudsons,8,36.8583007,-121.7564390,134.4,1.609,1.609,Salicornia pacifica,100,0.38
ELK,E,09/07/2016,Hudsons,9,36.8581285,-121.7564561,153.6,1.536,1.535,Salicornia pacifica,100,0.33
ELK,E,09/07/2016,Yampah,2,36.8105709,-121.7490835,12.4,1.579,1.578,Salicornia pacifica,100,0.31
ELK,E,09/07/2016,Yampah,3,36.8106280,-121.7489638,24.8,1.562,1.561,Salicornia pacifica,100,0.26
ELK,E,09/07/2016,Yampah,4,36.8106841,-121.7488433,37.2,1.585,1.584,Salicornia pacifica,100,0.36
ELK,E,09/07/2016,Yampah,5,36.8107440,-121.7487261,49.6,1.550,1.550,Salicornia pacifica,100,0.29
ELK,E,09/07/2016,Yampah,6,36.8108022,-121.7486078,62.0,1.471,1.471,Salicornia pacifica,75,0.25
ELK,E,09/07/2016,Yampah,7,36.8108604,-121.7484894,74.4,1.483,1.483,Salicornia pacifica,94,0.28
ELK,E,09/12/2016,Yampah,8,36.8109174,-121.7483706,86.8,1.319,1.318,Salicornia pacifica,63,0.28
ELK,E,09/12/2016,Yampah,9,36.8109759,-121.7482519,99.2,1.328,1.328,Salicornia pacifica,19,NA
ELK,E,09/12/2016,Yampah,10,36.8110394,-121.7481256,111.6,1.282,1.281,Salicornia pacifica,69,0.17
ELK,E,09/12/2016,Lavender Ridge,1,36.8161405,-121.7626441,0.0,1.513,1.512,Salicornia pacifica,100,0.25
ELK,E,09/12/2016,Lavender Ridge,2,36.8161655,-121.7627944,13.7,1.515,1.515,Salicornia pacifica,100,0.30
ELK,E,09/12/2016,Lavender Ridge,3,36.8161896,-121.7629452,27.4,1.522,1.521,Salicornia pacifica,100,0.24
ELK,E,09/12/2016,Lavender Ridge,4,36.8162132,-121.7630956,41.1,1.578,1.577,Salicornia pacifica,56,0.23
ELK,E,09/12/2016,Lavender Ridge,5,36.8162368,-121.7632462,54.8,1.734,1.733,Salicornia pacifica,13,0.24
ELK,E,09/12/2016,Lavender Ridge,6,36.8162593,-121.7633965,68.5,1.527,1.527,Salicornia pacifica,100,0.23
ELK,E,09/12/2016,Lavender Ridge,7,36.8162822,-121.7635480,82.2,1.558,1.557,Salicornia pacifica,100,0.26
ELK,E,09/12/2016,Lavender Ridge,8,36.8163052,-121.7636986,95.9,1.571,1.570,Salicornia pacifica,94,0.29
ELK,E,09/12/2016,Lavender Ridge,9,36.8163280,-121.7638486,109.6,1.562,1.561,Salicornia pacifica,100,0.31
ELK,E,09/12/2016,Lavender Ridge,10,36.8163480,-121.7639998,123.25,1.493,1.492,Salicornia pacifica,56,0.09
ELK,E,09/12/2016,Bennett Southwest,1,36.8146700,-121.7771598,0.0,2.197,2.196,Salicornia pacifica,94,0.35
ELK,E,09/12/2016,Bennett Southwest,2,36.8146629,-121.7773027,12.8,1.433,1.433,Salicornia pacifica,94,0.27
ELK,E,09/12/2016,Bennett Southwest,3,36.8146565,-121.7774456,25.6,1.459,1.458,Salicornia pacifica,100,0.34
ELK,E,09/12/2016,Bennett Southwest,4,36.8146499,-121.7775887,38.4,1.485,1.484,Salicornia pacifica,100,0.29
ELK,E,09/14/2016,Bennett Southwest,5,36.8146444,-121.7777317,51.2,1.449,1.448,Salicornia pacifica,100,0.34
ELK,E,09/14/2016,Bennett Southwest,6,36.8146399,-121.7778753,64.0,1.389,1.389,Salicornia pacifica,6,0.26
ELK,E,09/14/2016,Bennett Southwest,8,36.8146301,-121.7781616,89.6,1.473,1.472,Salicornia pacifica,100,0.25
ELK,E,09/14/2016,Bennett Southwest,9,36.8146242,-121.7783051,102.4,1.489,1.489,Salicornia pacifica,100,0.31
ELK,E,09/14/2016,Bennett Southwest,10,36.8146192,-121.7784509,115.5,1.466,1.465,Salicornia pacifica,44,0.35
ELK,E,09/14/2016,Old Salinas River Channel,2,36.7964686,-121.7901717,12.1,1.779,1.778,Salicornia pacifica,100,0.37
ELK,E,09/14/2016,Old Salinas River Channel,3,36.7965084,-121.7900453,24.25,1.709,1.708,Salicornia pacifica,69,0.30
ELK,E,09/14/2016,Old Salinas River Channel,4,36.7965455,-121.7899188,36.3,1.644,1.643,Salicornia pacifica,94,0.35
ELK,E,09/14/2016,Old Salinas River Channel,5,36.7965835,-121.7897918,48.4,1.621,1.620,Salicornia pacifica,100,0.30
ELK,E,09/14/2016,Old Salinas River Channel,6,36.7966231,-121.7896654,60.5,1.593,1.592,Salicornia pacifica,100,0.36
ELK,E,09/14/2016,Old Salinas River Channel,7,36.7966628,-121.7895393,72.6,1.593,1.592,Salicornia pacifica,100,0.32
ELK,E,09/14/2016,Old Salinas River Channel,8,36.7967026,-121.7894132,84.7,1.537,1.536,Salicornia pacifica,100,0.28
ELK,E,09/14/2016,Old Salinas River Channel,9,36.7967423,-121.7892868,96.8,1.559,1.558,Salicornia pacifica,100,0.30
ELK,E,09/14/2016,Old Salinas River Channel,10,36.7967873,-121.7891562,109.5,1.220,1.219,Salicornia pacifica,50,0.18
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/07/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/07/2016,,,,,,,,,,
ELK,E,09/07/2016,,,,,,,,,,
ELK,E,09/07/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/12/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/14/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/26/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
ELK,E,09/28/2016,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
